p1x,p1y,p1sx,p1sy,p1a,p1wx,p1wy,tf1,pf1,p2x,p2y,p2sx,p2sy,p2a,p2wx,p2wy,tf2,pf2,p3x,p3y,p3sx,p3sy,p3a,p3wx,p3wy,tf3,pf3,p4x,p4y,p4sx,p4sy,p4a,p4wx,p4wy,tf4,pf4,p1tx,p1ty,p1t,p2tx,p2ty,p2t
10443,4096,521,241,0.16481973005807052,14527,7778,1,0,9821,5093,490,254,0.47930628432754163,14527,7778,1,1,10505,3263,137,-24,0.8400074682912066,14527,7778,0,0,8870,5689,159,58,0.35367933274305924,14527,7778,0,0,51178,94617,200,108809,9178,200
11151,4407,601,264,0.35970699958495655,14527,7778,1,0,10506,5391,582,253,0.2207292335681896,14527,7778,1,1,10723,3422,185,134,1.151921155274339,14527,7778,0,0,9229,5755,305,56,0.03952006738407993,14527,7778,0,0,51396,94776,200,103198,39957,0
11908,4796,643,330,0.6738662649439359,14527,7778,1,0,11260,5746,640,301,0.5348884989271689,14527,7778,1,1,10989,3739,226,269,1.151921155274339,14527,7778,0,0,9534,5811,259,47,0.3490666120802778,14527,7778,0,0,77902,78053,200,88335,67377,200
12649,5275,629,406,0.9880255303029152,14527,7778,1,0,12032,6197,656,383,0.8490477642861483,14527,7778,1,1,11349,4157,305,354,0.8377618899153596,14527,7778,0,0,9951,5981,354,144,0.6632244171509383,14527,7778,0,0,78262,78471,200,65870,88884,0
13278,5681,534,345,1.3021847956618946,14527,7778,1,0,12688,6580,557,325,1.1632070296451276,14527,7778,1,1,11788,4660,373,427,0.8377552626840211,14527,7778,0,0,10305,6125,300,122,0.9773825536696844,14527,7778,0,0,78701,78974,200,89106,67691,0
13809,6097,451,353,1.616344061020874,14527,7778,1,0,13245,6905,473,276,1.4773662950041069,14527,7778,1,1,12295,5236,430,489,0.8377552626840211,14527,7778,0,0,10605,6247,255,103,0.6632244171509383,14527,7778,0,0,79208,79550,200,66524,89150,0
14240,6574,463,283,1.9305033263798532,14527,7778,1,0,13668,7244,261,409,1.7915255603630862,14527,7778,1,1,12859,5874,479,541,0.8377552626840211,14527,7778,0,0,10860,6350,216,87,0.9773825536696844,14527,7778,0,0,53532,97228,200,38423,102476,0
14578,7013,287,373,2.2446625917388325,14527,7778,1,0,13878,7739,178,420,2.1056848257220655,14527,7778,1,1,13419,6598,476,615,1.1519145280430005,14527,7778,0,0,11076,6437,183,73,1.2915418190286636,14527,7778,0,0,23871,106050,200,7586,106376,0
14703,7497,341,443,2.558821857097812,6321,4317,1,0,14042,8202,200,731,2.419844091081045,6321,4317,1,1,13906,7385,117,297,1.4660737934019799,14527,7778,0,0,11259,6510,155,62,1.605701084387643,14527,7778,0,0,-6885,105199,0,-22942,100479,200
14851,7993,125,421,2.872981122456791,6321,4317,0,0,14058,9012,13,688,2.734003356440024,6321,4317,0,0,14023,7682,99,252,1.7802330587609592,6321,4317,1,1,11346,6760,73,212,1.9198535418958296,14527,7778,1,0,-35976,94284,0,-50220,85561,0
14776,8405,-63,350,3.1871403878157705,6321,4317,0,0,13872,9719,-158,600,3.0481626217990034,6321,4317,0,0,14122,7934,84,214,2.094389143973701,6321,4317,1,1,11419,6972,62,180,2.2340128072548087,14527,7778,1,0,-60192,74847,0,-71484,62891,0
14711,8820,-51,355,3.50129965317475,6321,4317,0,0,13519,10275,-300,472,3.3623218871579827,6321,4317,0,0,14021,8012,-90,63,2.4085484093326803,6321,4317,1,1,11481,7152,52,153,2.548172072613788,14527,7778,1,0,-77333,48685,200,-71422,63071,0
14498,9058,-181,202,-2.5152967296648807,6321,4317,0,0,13047,10645,-401,314,3.676481152516962,6321,4317,0,0,13748,8156,-231,122,2.7227076746916596,6321,4317,1,1,11533,7305,44,130,2.548178880464581,14527,7778,1,0,-85704,18608,200,-71370,63224,200
14163,9132,-284,62,-2.4460864266929105,6321,4317,0,0,12514,10809,-453,139,3.9906404178759414,6321,4317,0,0,13318,8299,-365,121,3.036866940050639,6321,4317,1,1,11411,7547,-103,205,2.548178880464581,14527,7778,1,0,-84496,-12492,0,-50155,86348,200
